timestamp,evento,ip,loja,copies
2025-06-06 12:41:35,mapping_add,10.4.30.2,"loja=1"
2025-06-06 13:36:38,mapping_add,10.4.30.2,"loja=2"
2025-06-06 13:37:17,mapping_delete,10.4.30.2,"loja=1"
2025-06-06 13:37:19,mapping_delete,10.4.30.2,"loja=2 "
2025-06-10 16:58:07,print,10.17.70.1,17,"ean=3000000389898, codprod=3898-9, copies=1, modo=Floricultura, LS=50"
2025-06-10 16:58:36,print,10.17.70.1,17,"ean=3000000389898, codprod=3898-9, copies=1, modo=Floricultura, LS=50"
2025-06-10 16:58:57,print,10.17.70.1,17,"ean=3000000389898, codprod=3898-9, copies=1, modo=Floricultura, LS=50"
2025-06-10 17:00:38,print,10.17.70.1,17,"ean=3000000389898, codprod=3898-9, copies=1, modo=Floricultura, LS=50"
2025-06-10 17:02:14,print,10.17.70.1,17,"ean=3000000389898, codprod=3898-9, copies=1, modo=Floricultura, LS=50"
2025-06-10 17:04:24,print,10.17.70.1,17,"ean=3000000389898, codprod=3898-9, copies=1, modo=Floricultura, LS=50"
2025-06-10 17:04:40,print,10.17.30.51,17,"ean=7896553640830, codprod=74360-7, copies=1, modo=Floricultura, LS=50"
2025-06-10 17:04:54,print,10.17.70.1,17,"ean=3000000389898, codprod=3898-9, copies=1, modo=Floricultura, LS=50"
2025-06-10 17:05:42,print,10.17.70.1,17,"ean=3000000389898, codprod=3898-9, copies=1, modo=Floricultura, LS=50"
2025-06-10 17:06:05,print,10.17.30.51,17,"ean=7896553640830, codprod=74360-7, copies=10, modo=Floricultura, LS=50"
2025-06-10 17:14:01,print,10.17.30.42,17,"ean=7896553640830, codprod=74360-7, copies=1, modo=Floricultura, LS=50"
2025-06-10 17:18:13,print,10.17.70.1,17,"ean=3000000389898, codprod=3898-9, copies=10, modo=Floricultura, LS=50"
2025-06-10 17:19:18,print,10.17.70.1,17,"ean=3000000389386, codprod=3893-8, copies=1, modo=Floricultura, LS=50"
2025-06-10 17:19:28,print,10.17.70.1,17,"ean=3000000389386, codprod=3893-8, copies=10, modo=Floricultura, LS=50"
2025-06-10 18:34:14,print,10.17.70.1,17,"ean=3000030640778, codprod=306407-7, copies=10, modo=Floricultura, LS=50"
2025-06-10 19:19:10,print,10.17.70.1,17,"ean=3000000400104, codprod=4001-0, copies=10, modo=Floricultura, LS=50"
2025-06-11 08:59:24,print,10.4.30.4,4,"ean=3000000389898, codprod=3898-9, copies=1, modo=Floricultura, LS=-10"
2025-06-11 09:21:49,print,10.4.30.2,4,"ean=7890291333825, codprod=231958-6, copies=1, modo=Floricultura, LS=-10"
2025-07-08 10:52:47,print,10.4.30.2,10.4.30.116,"ean=3000001299509,codprod=12995-0,copies=20,modo=FLV"
2025-07-08 11:07:45,print,10.4.30.42,10.4.30.116,"ean=3000001299509,codprod=12995-0,copies=1,modo=FLV"
2025-07-08 11:09:25,print,10.4.30.42,10.4.30.116,"ean=3000001299509,codprod=12995-0,copies=1,modo=FLV"
2025-07-08 11:09:48,print,10.4.30.42,10.4.30.116,"ean=3000001299509,codprod=12995-0,copies=1,modo=FLV"
2025-07-10 09:20:55,print,10.17.70.1,10.17.30.119,"ean=3000000400104,codprod=4001-0,copies=20,modo=Floricultura"
2025-07-10 12:16:47,print,10.4.30.42,10.4.30.116,"ean=3000030765396,codprod=307653-9,copies=10,modo=Floricultura"
2025-07-10 12:17:37,print,10.4.30.42,10.4.30.116,"ean=3000030765396,codprod=307653-9,copies=10,modo=Floricultura"
2025-07-11 06:42:19,print,10.4.30.2,10.4.30.116,"ean=3000001299509,codprod=12995-0,copies=20,modo=FLV"
2025-07-11 07:15:25,print,10.4.30.2,10.4.30.116,"ean=3000001299509,codprod=12995-0,copies=1,modo=Floricultura"
2025-07-11 07:15:29,print,10.4.30.2,10.4.30.116,"ean=3000001299509,codprod=12995-0,copies=1,modo=Floricultura"
2025-07-11 10:54:31,print,10.17.70.1,10.17.30.119,"ean=3000000389621,codprod=3896-2,copies=20,modo=Floricultura"
2025-07-11 11:32:19,print,10.4.30.42,10.4.30.116,"ean=3000030447506,codprod=304475-0,copies=10,modo=Floricultura"
2025-07-11 11:32:38,print,10.4.30.42,10.4.30.116,"ean=3000030447506,codprod=304475-0,copies=10,modo=Floricultura"
2025-07-12 12:05:06,print,10.4.30.42,10.4.30.116,"ean=3000000389201,codprod=3892-0,copies=10,modo=Floricultura"
2025-07-12 12:05:46,print,10.4.30.42,10.4.30.116,"ean=3000000397138,codprod=3971-3,copies=10,modo=Floricultura"
2025-08-15 13:20:49,startup,,,
2025-08-15 13:20:56,shutdown,,,
